Results 1 - 15696 of 15696,
,
Base Word,Level
cattle,B1
,
clothes,A1
,
albeit,C2
,
and,A1
,
and,A1
,
because,A1
,
but,A1
,
and,A2
,
as,A2
,
although,B1
,
although,B1
,
and,B1
,
close,B1
,
,
as,A1
,
and,A1
,
as,A2
,
before,A2
,
after,B1
,
as,B1
,
as,B1
,
as,B1
,
before,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
before,B1
,
but,B1
,
eight,A1
,
eighteen,A1
,
eleven,A1
,
eighth,A2
,
eighty,A2
,
insofar as,C2
,
fifteen,A1
,
five,A1
,
four,A1
,
fourteen,A1
,
fifth,A2
,
fifty,A2
,
forty,A2
,
fourth,A2
,
hundred,A2
,
if,A2
,
if,B1
,
if,B1
,
if,B1
,
if,B2
,
however,C2
,
million,A2
,
like,B1
,
or,A1
,
or,A2
,
or,B1
,
or,B2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
only,C2
,
nine,A1
,
nineteen,A1
,
one,A1
,
ninety,A2
,
ninth,A2
,
now,B2
,
once,B2
,
or,C1
,
provided (that),B2
,
second,B1
,
,
politically,C1
,
second,A1
,
plus,B1
,
second,B1
,
,
seventy,A2
,
so,A2
,
seven,A1
,
seventeen,A1
,
six,A1
,
sixteen,A1
,
ten,A1
,
thirteen,A1
,
three,A1
,
to,A1
,
seventh,A2
,
sixth,A2
,
sixty,A2
,
so,A2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
that,A2
,
third,A2
,
thirty,A2
,
thousand,A2
,
to,A2
,
to,A2
,
since,B1
,
since,B1
,
though,B1
,
till,B1
,
though,B2
,
zero,A2
,
while,B2
,
while,B1
,
whereas,B2
,
zero,B1
,
twelve,A1
,
twenty,A1
,
two,A1
,
when,A2
,
where,A2
,
while,A2
,
unless,B1
,
until,B1
,
until,B1
,
whenever,B1
,
wherever,B1
,
whether,B1
,
yet,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
when,B2
,
where,B2
,
caution,C2
,
advertisement,A2
,
assert,C1
,
address,C2
,
cash,B1
,
acquire,B2
,
click,C2
,
bike,B1
,
clarification,C1
,
acknowledge,C1
,
aid,C1
,
applaud,C2
,
cease,B2
,
carrot,C2
,
character,C2
,
ages,B1
,
bunch,B1
,
click,C2
,
birth,C1
,
approval,B2
,
chemical,B2
,
appearance,B2
,
assurance,C1
,
allowance,C1
,
assistance,B2
,
appearance,B1
,
,
assurance,C2
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
appearance,B2
,
assistant,B1
,
coherence,C2
,
bestseller,B2
,
beginner,A2
,
,
CD player,A1
,
browser,B2
,
backpacker,B1
,
bumper,B2
,
cleaner,A2
,
babysitter,B1
,
barber,B1
,
builder,B1
,
adviser,C1
,
classic,B2
,
characteristic,B2
,
,
clothing,B2
,
catering,B2
,
central heating,B1
,
,
boxing,B1
,
camping,A2
,
backpacking,B1
,
booking,B1
,
animation,B1
,
allegation,C1
,
addition,B2
,
,
admission,B2
,
admission,B1
,
action,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
collection,B2
,
action,B2
,
calculation,B2
,
admiration,B2
,
,
ambition,B2
,
,
appreciation,B2
,
,
affection,B2
,
,
attraction,C2
,
celebration,B1
,
adoption,B2
,
application,B2
,
capitalism,C2
,
archaeologist,C1
,
clarity,C2
,
capacity,B2
,
,
capacity,B2
,
,
capacity,C1
,
activity,B2
,
argument,B1
,
agreement,B2
,
argument,B2
,
agreement,B2
,
arrangement,B2
,
achievement,B1
,
adjustment,B2
,
assessment,B2
,
amazement,B2
,
,
amusement,B2
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
astonishment,B2
,
,
attachment,B2
,
appointment,C2
,
blindness,C1
,
,
carelessness,B2
,
,
cheerfulness,C2
,
,
coldness,C2
,
,
collector,B2
,
ancestor,B2
,
championship,B1
,
bravery,B2
,
,
addiction,B2
,
,
abortion,C1
,
,
animal,A1
,
bird,A1
,
cat,A1
,
baby,A2
,
bear,A2
,
chicken,A2
,
ant,B1
,
bat,B1
,
bee,B1
,
bug,B1
,
bull,B1
,
butterfly,B1
,
cage,B1
,
calf,B1
,
camel,B1
,
breed,B2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
cell,B2
,
collar,B2
,
beak,C1
,
bark,B2
,
breed,B2
,
book,A1
,
camera,A1
,
album,A2
,
cartoon,A2
,
cartoon,A2
,
channel,A2
,
clown,A2
,
act,B1
,
ad,B1
,
advert,B1
,
article,B1
,
biography,B1
,
chapter,B1
,
character,B1
,
chat show,B1
,
circus,B1
,
beat,B2
,
cello,B2
,
column,B2
,
bow,C2
,
art,A2
,
cable,B1
,
cinema,C1
,
brass,C2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
ballet,B1
,
background,B2
,
accompany,C2
,
act,B1
,
advertise,B1
,
broadcast,B2
,
arm,A1
,
,
body,A1
,
,
accident,A2
,
,
back,A2
,
,
brain,A2
,
,
cold,A2
,
,
ache,B1
,
,
ankle,B1
,
,
body,B1
,
,
bottom,B1
,
,
breast,B1
,
,
cheek,B1
,
,
chin,B1
,
,
beat,B2
,
,
bite,B2
,
,
breakdown,B2
,
,
bruise,B2
,
,
bug,B2
,
,
chest,B2
,
,
antibiotic,C2
,
,
blister,C2
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
calf,C2
,
,
case,C2
,
,
blood,A2
,
,
breath,B1
,
,
care,B2
,
,
cholesterol,C1
,
,
aspirin,B1
,
,
backache,B1
,
,
bandage,B1
,
,
birth,B1
,
,
bone,B1
,
,
beat,B1
,
,
bleed,B1
,
,
ache,B2
,
,
catch,A2
,
,
burn,B1
,
,
bump,B2
,
,
carry,C1
,
,
attack,C2
,
,
breathe,B1
,
,
coat,A1
,
belt,A2
,
boot,A2
,
cap,A2
,
bracelet,B1
,
button,B1
,
collar,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
badge,B2
,
bikini,B2
,
bow,B2
,
bra,B2
,
cardigan,B2
,
answer,A1
,
capital letter,A2
,
card,A2
,
accent,B1
,
alarm,B1
,
alphabet,B1
,
brochure,B1
,
call,B1
,
card,B1
,
certificate,B1
,
accent,B2
,
account,B2
,
apostrophe,B2
,
arrow,B2
,
ban,B2
,
booklet,B2
,
chart,B2
,
colon,B2
,
appeal,C1
,
character,C1
,
claim,C1
,
channel,C2
,
cliché,C2
,
advice,A2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
blame,B2
,
chat,A2
,
apology,B1
,
code,B2
,
attack,C2
,
answer,A2
,
chat,A2
,
apologise,B1
,
argue,B1
,
check,B2
,
cheer,B2
,
appeal,C1
,
ask,A2
,
add,B1
,
announce,B1
,
approve,B1
,
blame,B1
,
amuse,B2
,
assume,B2
,
assure,B2
,
call,B2
,
capture,B2
,
challenge,B2
,
claim,B2
,
attack,C1
,
clarify,C1
,
allege,C2
,
answer,A1
,
ask,A1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
agree,A2
,
answer,A2
,
admit,B1
,
advise,B1
,
ask,B1
,
ask,B1
,
ask,B1
,
call,B1
,
argue,B2
,
beg,B2
,
beg,B2
,
boast,B2
,
claim,B2
,
call,C1
,
bark,C2
,
burglar,B2
,
case,B2
,
case,B2
,
arrest,B2
,
burglary,B2
,
arrest,B1
,
centimetre,A2
,
,
circle,A2
,
,
amount,B1
,
,
average,B1
,
,
bar,B1
,
,
bunch,B1
,
,
base,B2
,
,
block,B2
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
angle,C1
,
,
acre,C2
,
,
black,A2
,
,
accuracy,B2
,
,
colour,A1
,
,
blue,A2
,
,
brown,A2
,
,
average,B1
,
,
blackboard,A2
,
candidate,B1
,
branch,B2
,
chemistry,A2
,
class,A1
,
bar,A1
,
biscuit,A1
,
café,A1
,
barbecue,A2
,
bean,A2
,
bottle,A2
,
bowl,A2
,
burger,A2
,
can,A2
,
canteen,B1
,
bite,B2
,
bun,B2
,
cherry,B2
,
casserole,C2
,
bread,A1
,
butter,A1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
beef,B1
,
broccoli,B1
,
chewing gum,B1
,
apple,A1
,
banana,A1
,
breakfast,A1
,
cake,A1
,
cheese,A1
,
chocolate,A1
,
coffee,A1
,
carrot,A2
,
cereal,A2
,
chilli,A2
,
cola,A2
,
cabbage,B1
,
coconut,B1
,
aubergine,B2
,
appetite,C1
,
cereal,C1
,
casserole,C2
,
barbecue,B1
,
boil,B1
,
beat,C1
,
bake,A2
,
burn,B1
,
address,A1
,
,
bath,A1
,
,
bathroom,A1
,
,
bedroom,A1
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
chair,A1
,
,
apartment,A2
,
,
armchair,A2
,
,
blanket,A2
,
,
board,A2
,
,
bookcase,A2
,
,
bookshelf,A2
,
,
castle,A2
,
,
ceiling,A2
,
,
centre,A2
,
,
area,B1
,
,
balcony,B1
,
,
basin,B1
,
,
bin,B1
,
,
block,B1
,
,
candle,B1
,
,
chest of drawers,B1
,
,
barrier,B2
,
,
basement,B2
,
,
bench,B2
,
,
brick,B2
,
,
cabinet,B2
,
,
cellar,B2
,
,
chimney,B2
,
,
cloth,B2
,
,
column,B2
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
cabin,C1
,
,
balcony,C2
,
,
air conditioning,B1
,
,
architecture,B1
,
,
bed,A1
,
,
carpet,A2
,
,
atmosphere,B2
,
,
bank,A1
,
cent,A2
,
cheque,A2
,
account,B1
,
bank account,B1
,
coin,B1
,
award,B2
,
balance,B2
,
budget,B2
,
bid,C2
,
cash,A2
,
change,B1
,
change,B1
,
borrow,A2
,
change,A2
,
borrow,C1
,
beach,A1
,
area,A2
,
bay,B1
,
branch,B1
,
breeze,B1
,
cave,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
cliff,B1
,
coast,B1
,
atom,B2
,
bank,B2
,
berry,B2
,
bush,B2
,
carbon footprint,B2
,
cloud,B2
,
bed,C2
,
air,A2
,
aluminium,B2
,
carbon,B2
,
carbon dioxide,B2
,
carbon monoxide,B2
,
climate change,B2
,
astronomy,C2
,
autumn,A2
,
cloud,A2
,
climate,B1
,
acid,B2
,
coastline,C2
,
bottom,B1
,
blow,B1
,
break,C2
,
break,C2
,
boil,A2
,
bath,A1
,
check,B1
,
act,B2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
attempt,B2
,
capture,C1
,
come,A1
,
come,A1
,
act,B1
,
behave,B1
,
blow,B1
,
act,B2
,
adjust,B2
,
campaign,C1
,
cling,C2
,
carry,A1
,
clean,A1
,
colour,A1
,
add,A2
,
add,A2
,
bring,A2
,
brush,A2
,
collect,A2
,
collect,A2
,
achieve,B1
,
attach,B1
,
attempt,B1
,
avoid,B1
,
bury,B1
,
cancel,B1
,
carry,B1
,
catch,B1
,
circle,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
clear,B1
,
collect,B1
,
acquire,B2
,
adapt,B2
,
adjust,B2
,
adopt,B2
,
analyse,B2
,
arrange,B2
,
assess,B2
,
avoid,B2
,
beat,B2
,
burgle,B2
,
bury,B2
,
calculate,B2
,
capture,B2
,
clutch,C2
,
catch,A1
,
change,A1
,
choose,A1
,
close,A1
,
check,A2
,
climb,A2
,
approach,B1
,
arrange,B1
,
attend,B1
,
babysit,B1
,
clap,B1
,
assist,B2
,
balance,B2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
bang,B2
,
bend,B2
,
brush,B2
,
charge,B2
,
chase,B2
,
combine,B2
,
blow,C2
,
carve,C2
,
adult,A1
,
,
baby,A1
,
,
beard,A1
,
,
boy,A1
,
,
comb,A2
,
,
adolescent,C2
,
,
beauty,B1
,
,
childhood,B1
,
,
bit,A2
,
,
background,B1
,
,
chance,B2
,
,
bully,C1
,
,
character,C1
,
,
anger,B2
,
,
anxiety,B2
,
,
appeal,B2
,
,
certainty,B2
,
,
charisma,C2
,
,
attitude,B1
,
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
character,B1
,
,
charm,B2
,
,
care,B1
,
,
appeal,B2
,
,
approve,B2
,
,
belong,B2
,
,
blush,B2
,
,
believe,A2
,
,
bother,A2
,
,
annoy,B1
,
,
attract,B1
,
,
admire,B2
,
,
appreciate,B2
,
,
bear,B2
,
,
betray,B2
,
,
bother,B2
,
,
behave,B1
,
,
care,B1
,
,
cheat,B2
,
,
capital,A2
,
citizen,B2
,
chancellor,C2
,
centre,C2
,
birthday,A1
,
brother,A1
,
aunt,A2
,
boyfriend,A2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
anniversary,B1
,
bride,B1
,
ceremony,B1
,
affair,B2
,
bond,B2
,
brother-in-law,B2
,
circle,B2
,
bond,C2
,
call,B1
,
celebrate,B1
,
adopt,B2
,
bag,A1
,
ball,A1
,
box,A1
,
bat,A2
,
board,A2
,
board game,A2
,
bookshop,A2
,
card,A2
,
basket,B1
,
captain,B1
,
chain,B1
,
champion,B1
,
checkout,B1
,
arrow,B2
,
brand,B2
,
catalogue,B2
,
business,A1
,
badminton,A2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
chess,A2
,
athletics,B1
,
basketball,A1
,
baseball,A2
,
attack,B1
,
come,A2
,
appear,B2
,
browse,B2
,
beat,B1
,
address,A1
,
CD,A1
,
button,B1
,
card,B1
,
backup,B2
,
bookmark,B2
,
breakdown,B2
,
bug,B2
,
bulb,B2
,
chip,B2
,
access,B1
,
broadband,B2
,
CD-ROM,B1
,
cable,B2
,
attach,B1
,
access,B2
,
bookmark,B2
,
burn,B2
,
browse,B2
,
charge,B2
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
boat,A1
,
bus,A1
,
car,A1
,
aeroplane,A2
,
airport,A2
,
bicycle,A2
,
bike,A2
,
bus station,A2
,
bus stop,A2
,
car park,A2
,
case,A2
,
coach,A2
,
boot,B1
,
brake,B1
,
cab,B1
,
cabin,B1
,
campsite,B1
,
check-in (desk),B1
,
check-in (counter),B1
,
aircraft,B2
,
captain,B2
,
carriage,C1
,
cabin,C2
,
carriage,C2
,
air,A2
,
baggage,B1
,
approach,B2
,
adventure,A2
,
camp,B1
,
https://www.englishproﬁle.org/wordlists/evp,
19/07/2021,English Proﬁle - EVP Online
Base Word,Level
camp,A2
,
accelerate,C2
,
catch,A1
,
carry,B2
,
book,A2
,
board,B1
,
boss,A2
,
business,A2
,
businessman,A2
,
