Epoch,TrainCost,DevCost
0,1.836662722,1.532833759
1,1.494445665,1.487003986
2,1.442891975,1.466844469
3,1.424377225,1.460423623
4,1.412387135,1.460993766
5,1.398530711,1.446647141
6,1.385324566,1.443893862
7,1.378232599,1.436916891
8,1.36925112,1.438137294
9,1.361206183,1.436483053
10,1.354344881,1.435922643
11,1.346657617,1.433332072
12,1.341479568,1.434795255
13,1.334312776,1.423737509
14,1.330102305,1.423481366
15,1.322766491,1.422240731
16,1.318333499,1.421472487
17,1.312189828,1.421011089
18,1.305096476,1.418778988
19,1.299487639,1.421029249
20,1.296120078,1.420119012
21,1.292074101,1.426149389
22,1.289244589,1.423977516
23,1.284258118,1.421593621
24,1.282587568,1.423295765
25,1.279520137,1.421585623
26,1.277106653,1.422662627
27,1.274029461,1.42650464
28,1.27211989,1.425627758
29,1.269420219,1.423837715
30,1.268849428,1.427062675
31,1.267901638,1.426387146
32,1.266067073,1.428263137
33,1.265034263,1.428365544
34,1.262809685,1.429260757
35,1.260839083,1.428378012
36,1.262347813,1.430182949
37,1.260131441,1.431869553
38,1.260520847,1.430525091
39,1.258316272,1.430013119
40,1.257425015,1.430803034
41,1.258758416,1.431595162
42,1.258176763,1.430292768
43,1.257623088,1.432168889
44,1.257509857,1.431141384
45,1.256681718,1.431864193
46,1.256604032,1.431948762
47,1.256377123,1.431213314
48,1.256164805,1.433445212
49,1.256802992,1.432228563
50,1.256171597,1.433030766
51,1.256536041,1.431891371
52,1.25350668,1.432934675
53,1.254788373,1.433186103
54,1.256722076,1.431704465
55,1.255594386,1.433532932
56,1.254929684,1.433006965
57,1.254608743,1.433138514
58,1.255048818,1.433174327
59,1.255552262,1.432770108
60,1.254205059,1.433048308
