Epoch,TrainCost,DevCost
0,1.851625144,1.531390189
1,1.499996489,1.480503548
2,1.451021626,1.468153726
3,1.435416858,1.462951208
4,1.42111294,1.477091096
5,1.411345194,1.442536904
6,1.399774072,1.443654615
7,1.388965613,1.432941146
8,1.379810697,1.428100088
9,1.372256546,1.42676475
10,1.364012786,1.420624656
11,1.35925512,1.416402741
12,1.352751479,1.415762886
13,1.345669554,1.41493309
14,1.338685801,1.423926689
15,1.331896523,1.408681083
16,1.326954842,1.415331397
17,1.321901037,1.408417394
18,1.314759781,1.408634117
19,1.309454227,1.406440126
20,1.30491005,1.409235031
21,1.299910572,1.409960312
22,1.298530515,1.406871865
23,1.292691438,1.40528901
24,1.288633958,1.408542223
25,1.287038105,1.407256361
26,1.284672846,1.408630786
27,1.281060459,1.408426167
28,1.281475919,1.40591379
29,1.276819575,1.409223646
30,1.274343957,1.413520426
31,1.275203658,1.408368924
32,1.271679332,1.413162259
33,1.271344309,1.414502699
34,1.270239626,1.415191263
35,1.269642446,1.412410731
36,1.268464797,1.412617113
37,1.270576843,1.412855017
38,1.265483777,1.414165953
39,1.266615139,1.411576738
40,1.265486627,1.412577065
41,1.264364223,1.415266533
42,1.264140725,1.412020904
43,1.265018963,1.412287056
44,1.265597043,1.412745927
45,1.26271787,1.416556371
46,1.262901636,1.414691837
47,1.262192387,1.415009606
48,1.264340183,1.415116094
49,1.263985939,1.414707557
50,1.263188492,1.415344755
51,1.263513241,1.414360425
52,1.264341615,1.414437124
53,1.263538107,1.414794793
54,1.262743237,1.414101689
55,1.263781628,1.415253294
56,1.263223447,1.414509064
57,1.26247472,1.415626415
58,1.263547849,1.416249756
59,1.262790101,1.415426021
60,1.262254591,1.415325935
