Epoch,TrainCost,DevCost
0,1.8602235,1.53475763
1,1.506353508,1.48406333
2,1.455123967,1.467198239
3,1.439674982,1.455433496
4,1.427280673,1.462413931
5,1.415927579,1.44011358
6,1.403831263,1.437295469
7,1.394418207,1.42941328
8,1.384570153,1.424299196
9,1.375904887,1.421242503
10,1.369065179,1.419674607
11,1.362766928,1.416139402
12,1.355703129,1.414859984
13,1.349291678,1.409964749
14,1.34212197,1.41185367
15,1.334286483,1.406108584
16,1.329799338,1.404085475
17,1.322990974,1.402321092
18,1.319068566,1.401552456
19,1.314237314,1.403555758
20,1.310279174,1.401623054
21,1.305736166,1.402214622
22,1.303246508,1.400680773
23,1.299878872,1.400574003
24,1.296079606,1.402673673
25,1.293765377,1.401410007
26,1.291453619,1.402574717
27,1.289555199,1.402362588
28,1.288138009,1.400594174
29,1.285662409,1.401811644
30,1.284538819,1.404416514
31,1.282446178,1.403139804
32,1.281650156,1.40369848
33,1.280653593,1.40540471
34,1.280191866,1.404167909
35,1.278293773,1.403377201
36,1.278206244,1.40452613
37,1.27851044,1.404837824
38,1.277998715,1.405025335
39,1.277193235,1.404667053
40,1.274655721,1.405176308
41,1.273980972,1.4049104
42,1.275762066,1.404871649
43,1.274797959,1.405020035
44,1.273464003,1.406140172
45,1.273419585,1.406109968
46,1.275025996,1.405449555
47,1.27367831,1.405400462
48,1.27377643,1.405883632
49,1.273917216,1.405576598
50,1.273619049,1.40596726
51,1.274199582,1.40576891
52,1.271915276,1.405601428
53,1.273004467,1.406022345
54,1.273480552,1.405758494
55,1.272450534,1.405720311
56,1.271822224,1.405690937
57,1.272003193,1.405715158
58,1.272990083,1.405917134
59,1.270936724,1.405864148
60,1.272955407,1.405971979
