#37-1	N
Guatemalan	C
Supreme	N
Court	N
approves	C
impeachment	C
of	N
President	N
Molina	N
Yesterday	N
in	N
Guatemala	N
,	N
the	N
Supreme	N
Court	N
approved	N
the	N
attorney	C
general's	N
request	N
to	N
impeach	C
President	N
Otto	N
Pérez	N
Molina	N
.	N

#37-2	N
President	N
Molina	N
,	N
pictured	C
here	N
in	N
2013	N
,	N
is	N
accused	C
of	N
corruption	C
.	N

#37-3	N
The	N
final	N
decision	C
on	N
lifting	C
Presidential	N
immunity	C
now	N
falls	C
to	N
Congress	N
.	N

#37-4	N
The	N
case	N
relates	N
to	N
a	N
corruption	C
scandal	C
known	N
locally	N
as	N
La	N
Linea((en))	N
which	N
has	N
seen	N
Vice	N
President	N
Roxana	N
Baldetti	N
arrested	N
and	N
charged	N
with	N
fraud	C
and	N
receiving	N
bribes	C
.	N

#37-5	N
Prosecutors	C
allege	C
Baldetti	N
and	N
Molina	N
between	N
them	N
received	N
half	N
of	N
all	N
bribes	C
in	N
the	N
case	N
.	N

#37-6	N
Congress	N
previously	N
refused	N
to	N
impeach	C
Molina	N
but	N
the	N
investigation	C
has	N
since	N
broadened	C
,	N
with	N
ministerial	C
resignations	C
.	N

#37-7	N
Molina	N
,	N
however	N
,	N
has	N
stood	C
firm	N
in	N
the	N
face	N
of	N
widespread	C
popular	N
protests	C
demanding	C
he	N
leave	N
office	N
.	N

#37-8	N
Elections	C
are	N
scheduled	C
for	N
September	N
6	N
.	N

#3-11	N
Pavlensky	N
commented	C
the	N
rape	C
charges	N
had	N
a	N
political	N
motivation	C
behind	N
it	N
and	N
denied	C
the	N
allegations	C
.	N

#3-12	N
Olga	N
Papernaya	N
,	N
former	N
art	N
director	N
at	N
Moscow's	N
film	N
club	N
said	N
,	N
"""Alas"	N
,	N
yesterday	N
a	N
national	N
hero	N
and	N
a	N
great	N
performance	N
artist	N
,	N
today	N
—	N
it’s	N
true	N
—	N
a	N
criminal	C
,	N
a	N
psychopath	C
and	N
a	N
"rapist"""	N
.	N

#3-13	N
Pavlensky	N
,	N
Oksana	N
,	N
and	N
their	N
two	N
daughters	N
left	N
for	N
Ukraine	C
in	N
mid-December	N
before	N
flying	N
to	N
France	N
.	N

#3-15	N
In	N
one	N
of	N
several	N
painful	N
performances	C
,	N
Pyotr	N
Pavlensky	N
sewed	C
his	N
lips	C
to	N
support	N
members	N
of	N
musical	N
band	N
Pussy	N
Riot	C
who	N
were	N
imprisoned	C
that	N
time	N
.	N

#3-16	N
The	N
band	N
members	N
were	N
charged	N
with	N
hooliganism	C
for	N
performing	N
an	N
anti-Putin	C
song	N
in	N
a	N
church	N
.	N

#3-17	N
In	N
2013	N
,	N
he	N
nailed	C
his	N
scrotum	C
in	N
Moscow's	N
Red	N
Square	N
naming	N
the	N
art	N
as	N
"""Fixation"""	N
.	N

#13-17	N
Matt	N
O'Brien	N
of	N
The	N
Washington	N
Post	N
claims	C
a	N
large	N
tax	N
cut	N
that	N
would	N
result	N
for	N
the	N
wealthiest	C
1%	N
of	N
citizens	C
