Normally	C
,	N
the	N
land	N
will	N
be	N
passed	C
down	N
to	N
future	C
generations	C
in	N
a	N
way	N
that	N
recognizes	C
the	N
community	N
's	N
traditional	C
connection	N
to	N
that	N
country	C
.	N

The	N
passing	N
of	N
Aboriginal	C
land	N
rights	N
legislaton	C
in	N
Australia	N
was	N
preceded	C
by	N
a	N
number	N
of	N
important	N
Aboriginal	C
protests	N
,	N
including	N
the	N
1946	N
Aboriginal	C
Stockmen	N
's	N
Strike	C
,	N
the	N
1963	N
Yolngu	N
Bark	N
Petition	C
,	N
and	N
the	N
1966	N
Wave	N
Hill	N
Walk-Off	C
,	N
as	N
well	N
as	N
the	N
Aboriginal	C
Lands	N
Trust	C
Act	N
1966	N
(	N
SA	N
)	N
,	N
which	N
established	C
the	N
South	N
Australian	N
Aboriginal	C
Lands	N
Trust	C
.	N

However	N
,	N
it	N
was	N
not	N
until	N
the	N
1970s	N
,	N
when	N
indigenous	C
Australians	N
(	N
both	N
Australian	N
Aborigines	N
and	N
Torres	N
Strait	C
Islanders	N
)	N
became	N
more	N
politically	C
active	N
,	N
that	N
there	N
emerged	C
powerful	N
movement	C
for	N
the	N
recognition	C
of	N
Aboriginal	C
land	N
rights	N
.	N

Her	N
novel	C
The	N
Good	N
Earth	N
was	N
the	N
best-selling	C
fiction	C
book	N
in	N
the	N
U.S	N
.	N
in	N
1931	N
and	N
1932	N
and	N
won	N
the	N
Pulitzer	C
Prize	N
in	N
1932	N
.	N

In	N
1921	N
,	N
Buck	N
's	N
mother	N
died	N
of	N
a	N
tropical	C
disease	C
,	N
sprue	C
,	N
and	N
shortly	N
afterward	C
her	N
father	N
moved	N
in	N
.	N

From	N
1920	N
to	N
1933	N
,	N
the	N
Bucks	N
made	N
their	N
home	N
in	N
Nanjing	N
,	N
on	N
the	N
campus	C
of	N
the	N
University	N
of	N
Nanking	N
,	N
where	N
both	N
had	N
teaching	N
positions	C
.	N

In	N
1964	N
,	N
to	N
support	N
children	N
who	N
were	N
not	N
eligible	C
for	N
adoption	C
,	N
Buck	N
established	C
the	N
Pearl	N
S	N
.	N
Buck	N
Foundation	C
(	N
now	N
called	N
Pearl	N
S	N
.	N
Buck	N
International	N
)	N
to	N
``	N
address	C
poverty	C
and	N
discrimination	C
faced	N
by	N
children	N
in	N
Asian	N
countries	N
.	N
''	N

She	N
wrote	N
on	N
a	N
diverse	C
variety	C
of	N
topics	N
including	N
women	N
's	N
rights	N
,	N
Asian	N
cultures	C
,	N
immigration	C
,	N
adoption	C
,	N
missionary	C
work	N
,	N
and	N
war	N
.	N

Another	N
Baroque	C
piece	N
that	N
stands	N
is	N
the	N
Chapel	C
of	N
Nuestra	N
Señora	N
del	N
Rosario	N
,	N
which	N
is	N
a	N
recognizable	C
feature	N
of	N
the	N
architecture	C
of	N
Quito	C
.	N

El	N
Panecillo	C
is	N
a	N
hill	N
located	N
in	N
the	N
middle	N
west	N
of	N
the	N
city	N
at	N
an	N
altitude	C
of	N
about	N
3,016	N
metres	N
(	N
9,895	N
ft	N
)	N
above	N
sea	N
level	N
.	N

Axis	C
is	N
the	N
nerve	C
of	N
the	N
public	N
space	N
known	N
as	N
Independence	C
Square	N
or	N
Plaza	N
Grande	N
(	N
colonial	C
name	N
)	N
,	N
around	N
which	N
were	N
built	N
in	N
addition	C
the	N
Archbishop	C
's	N
Palace	N
,	N
the	N
